step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
1,802,2,2.378120911907847,0.0,0.3904761904761905
2,1236,4,2.144039672346887,0.0,0.375
3,1878,6,1.91386280213993,0.0,0.4255813953488372
4,2632,8,1.208867668474537,0.0,0.39457831325301207
5,3674,10,1.4806460897921732,0.0,0.47892074198988194
6,4124,12,1.4311247584414584,0.0,0.4364406779661017
7,5326,14,1.6304129728007366,0.0,0.41631504922644164
8,6096,16,1.59949423119442,0.0,0.4449152542372881
9,7666,18,1.3091183162227882,0.0,0.5266666666666666
10,8436,20,1.6130564017774525,0.0,0.43935926773455375
11,9318,22,1.2890013111540017,0.0,0.3815789473684211
12,10312,24,1.7602382583448697,0.0,0.4100486223662885
13,11706,26,1.3734513245886082,0.0,0.4320809248554913
14,12284,28,1.6244654622453811,0.0,0.46867167919799496
15,13294,30,1.4775404069726268,0.0,0.4044750430292599
16,13712,32,2.0454076409257964,0.0,0.397212543554007
17,14418,34,1.8087358569248766,0.0,0.44170403587443946
18,15316,36,2.0075128591375813,0.0,0.35702479338842974
19,15798,38,1.3136654748024899,0.0,0.4279661016949153
20,16712,40,1.6721492048707765,0.0,0.4308510638297872
21,17770,42,1.8510625098003457,0.0,0.42377622377622376
22,18252,44,1.5667988328418219,0.0,0.4778156996587031
23,18654,46,1.267607389882888,0.0,0.45161290322580644
24,19680,48,2.112299351159871,0.0,0.42019950124688277
25,20210,50,1.5105625707879717,0.0,0.3916349809885932
26,21188,52,1.8306212686885324,0.0,0.38215488215488214
27,21958,54,1.747098966347682,0.0,0.42184154175588867
28,23000,56,1.667660617989254,0.0,0.4527439024390244
29,23786,58,1.253394219141859,0.0,0.4092140921409214
30,25372,60,1.765823574035404,0.0,0.42125237191650855
31,26158,62,1.7459038008030054,0.0,0.4435483870967742
32,27552,64,1.6932558822518933,0.0,0.38760631834750914
33,29154,66,1.2114748986922448,0.0,0.42297650130548303
34,30100,68,1.5808559898729397,0.0,0.4166666666666667
35,30534,70,1.6885591160041291,0.0,0.4201388888888889
36,31848,72,1.877544285686728,0.0,0.40131578947368424
37,32506,74,1.191851160390795,0.0,0.4533333333333333
38,32908,76,1.1682741447544802,0.0,0.43373493975903615
39,33646,78,1.4970337157867468,0.0,0.4666666666666667
40,34384,80,1.9233408547232005,0.0,0.3717391304347826
41,35218,82,1.8634040985472669,0.0,0.5277777777777778
42,35748,84,1.739952212466195,0.0,0.3698224852071006
43,36054,86,1.7131668756497827,0.0,0.413265306122449
44,36520,88,1.7610005777659783,0.0,0.35546875
45,37082,90,1.7122339676860825,0.0,0.46511627906976744
46,37596,92,1.8474456111456738,0.0,0.36792452830188677
47,38590,94,1.3458168795517536,0.0,0.5370967741935484
48,39312,96,1.7675323015178483,0.0,0.46747967479674796
49,39810,98,1.5876014843862467,0.0,0.46
50,40644,100,1.2043667064604102,0.0,0.4444444444444444
51,41046,102,1.9154324478261449,0.0,0.4205298013245033
52,42120,104,1.5726109353573914,0.0,0.4219269102990033
53,43866,106,1.4198357449041683,0.0,0.45502092050209203
54,44236,108,1.6241736567000293,0.0,0.4533898305084746
55,44590,110,2.0481391698437403,0.0,0.384
56,45408,112,2.2797924976714965,0.0,0.39308176100628933
57,46130,114,2.134086250061216,0.0,0.4215500945179584
58,46900,116,1.6847083962177598,0.0,0.482421875
59,47462,118,1.6089633846703302,0.0,0.3968253968253968
60,47736,120,1.3377696657661322,0.0,0.5
61,48794,122,1.2949679739674709,0.0,0.43622920517560076
62,49596,124,1.651965221643887,0.0,0.4438202247191011
63,50094,126,2.204909054112278,0.0,0.380352644836272
64,50704,128,1.6634280448049108,0.0,0.425
65,51346,130,1.6535120583411302,0.0,0.4151898734177215
66,52276,132,1.8765267039615017,0.0,0.38341158059467917
67,53510,134,1.669920311410496,0.0,0.4436183395291202
68,53976,136,1.8115867534248402,0.0,0.4217687074829932
69,54490,138,2.016033103852857,0.0,0.36085626911314983
70,55132,140,1.8814237760369288,0.0,0.3986013986013986
71,56078,142,1.0832059814297457,0.0,0.3644859813084112
72,56672,144,1.1511206855660567,0.0,0.4426877470355731
73,57090,146,1.5728716236793185,0.0,0.45714285714285713
74,58068,148,1.310075800522814,0.0,0.4109311740890688
75,60438,150,1.5621838966974302,0.0,0.4115898959881129
76,61256,152,1.9851843171489743,0.0,0.4340277777777778
77,61786,154,1.3856080245989444,0.0,0.5535168195718655
78,62236,156,2.1902344980599042,0.0,0.43869209809264303
79,63086,158,1.7481843555056713,0.0,0.4258188824662813
80,63536,160,1.6059394949815526,0.0,0.44363636363636366
81,64322,162,1.169269036246756,0.0,0.4289855072463768
82,64644,164,2.14464035720106,0.0,0.39461883408071746
83,65094,166,1.9827330309534932,0.0,0.3355048859934853
84,65528,168,1.6722737799779754,0.0,0.4226415094339623
85,66650,170,1.7544155682274034,0.0,0.3883357041251778
86,68268,172,1.7307356248176131,0.0,0.4537902388369678
87,68910,174,1.5590805027288694,0.0,0.3953488372093023
88,70512,176,1.7914774227825694,0.0,0.4987755102040816
89,71122,178,1.205511575034117,0.0,0.4338235294117647
90,71636,180,2.1855833662264272,0.0,0.3763157894736842
91,72294,182,1.434383258088861,0.0,0.4068767908309456
92,72840,184,1.8527902792682065,0.0,0.442159383033419
93,73370,186,1.6126063936932393,0.0,0.41830065359477125
94,74572,188,2.2823590308162744,0.0,0.41576354679802957
95,75102,190,2.1517996627968983,0.0,0.3595505617977528
96,75776,192,2.3037483198979407,0.0,0.47377938517179025
97,77330,194,0.8568599375230398,0.0,0.44421906693711966
98,78116,196,1.3511246172941918,0.0,0.4666666666666667
99,79238,198,1.162846153071302,0.0,0.4419551934826884
100,79960,200,1.9366157403548938,0.0,0.3684210526315789
101,80442,202,1.4765392584981345,0.0,0.4359861591695502
102,80924,204,2.2377335437257955,0.0,0.49264705882352944
103,81614,206,1.1799604264781614,0.0,0.4879518072289157
104,82960,208,1.760311391932592,0.0,0.42713004484304934
105,84146,210,1.5335510806927835,0.0,0.5584112149532711
106,84868,212,2.170062325777248,0.0,0.3885017421602787
107,85670,214,2.1370494008359446,0.0,0.48613138686131385
108,87016,216,2.228358016511243,0.0,0.40726933830382106
109,87706,218,1.6305949733187517,0.0,0.37681159420289856
110,89900,220,1.1969226958170107,0.0,0.5533751962323391
111,90654,222,1.3044248575741986,0.0,0.43661971830985913
112,93360,224,0.8981311126338578,0.0,0.6616231086657497
113,94354,226,1.1663962465888118,0.0,0.42823529411764705
114,95428,228,2.1261507038749525,0.0,0.43661971830985913
115,95862,230,1.9320200235423204,0.0,0.47468354430379744
116,97176,232,2.13442862632518,0.0,0.40019011406844107
117,97770,234,1.8161457584064273,0.0,0.36944444444444446
118,99980,236,0.9630129550710647,0.0,0.5807314897413024
119,100238,238,1.4679995694382928,0.0,0.4451219512195122
120,101568,240,1.8081635843591963,0.0,0.40774487471526194
121,101938,242,2.02673888215461,0.0,0.4172661870503597
122,103124,244,1.8368941932605671,0.0,0.4486735870818916
123,103558,246,1.984355535273434,0.0,0.3717948717948718
124,104328,248,2.0018017956580527,0.0,0.44932432432432434
125,105418,250,1.8469343855548392,0.0,0.3893805309734513
126,105900,252,1.6088603245723645,0.0,0.43795620437956206
127,107502,254,1.2466852240392687,0.0,0.4489795918367347
128,108624,256,1.82250736802437,0.0,0.51440329218107
129,109426,258,1.506443742264849,0.0,0.41019955654101997
130,109924,260,1.537780671103955,0.0,0.42084942084942084
131,110662,262,1.7236445744276396,0.0,0.4678030303030303
132,111512,264,1.5055636350855364,0.0,0.5200729927007299
133,112522,266,0.8818159404037128,0.0,0.4604519774011299
134,112876,268,1.98434100765542,0.0,0.4318181818181818
135,113422,270,1.354325301932695,0.0,0.425
136,114464,272,1.626468862700393,0.0,0.42301943198804187
137,114786,274,1.5455705557401274,0.0,0.4083769633507853
138,115348,276,1.6330140146118683,0.0,0.42168674698795183
139,115974,278,1.7442086682855797,0.0,0.43795620437956206
140,117208,280,1.9775748843277214,0.0,0.4718779790276454
141,117610,282,1.6134278696693392,0.0,0.42971887550200805
142,118076,284,2.355028671257713,0.0,0.31378299120234604
143,119022,286,1.4372459175555141,0.0,0.42047531992687387
144,119392,288,1.6623840263026322,0.0,0.3888888888888889
145,120338,290,0.8442321440839318,0.0,0.4084967320261438
146,121188,292,1.9417335454480737,0.0,0.4406015037593985
147,122406,294,1.82596541224721,0.0,0.4487320837927233
148,123256,296,1.6556547604947176,0.0,0.4084507042253521
149,124394,298,1.3785429070410433,0.0,0.393526405451448
150,124892,300,1.6279046764236045,0.0,0.3727598566308244
151,125998,302,1.0586623327246667,0.0,0.5073068893528184
152,127536,304,1.096267243524403,0.0,0.5637813211845103
153,128066,306,1.3581953745297395,0.0,0.39357429718875503
154,128692,308,2.2059146211586924,0.0,0.38496583143507973
155,129510,310,1.9378028115367665,0.0,0.45395799676898224
156,130056,312,1.271896338946793,0.0,0.44787644787644787
157,131194,314,1.4146448224879404,0.0,0.4163934426229508
158,132412,316,1.5973132783498407,0.0,0.4316644113667118
159,133038,318,1.8288176804822047,0.0,0.41
160,133664,320,1.634193510132638,0.0,0.4719387755102041
161,134898,322,1.763640776925617,0.0,0.3923076923076923
162,135844,324,1.8138300393105247,0.0,0.4141914191419142
163,136854,326,1.7538888243214898,0.0,0.43517138599105815
164,138024,328,1.5350591425191733,0.0,0.4529331514324693
165,138570,330,1.6213621510381249,0.0,0.4365781710914454
166,139308,332,1.9953970048345868,0.0,0.3867735470941884
167,140670,334,1.355173664619512,0.0,0.49818621523579204
168,142160,336,1.0500524027272686,0.0,0.41694915254237286
169,142850,338,1.6495634787922868,0.0,0.4408352668213457
170,143524,340,1.8559384072181169,0.0,0.37176470588235294
171,144230,342,1.1235066634386568,0.0,0.4819277108433735
172,145496,344,1.6674184088394008,0.0,0.38980509745127434
173,146090,346,1.5533296248364747,0.0,0.43922651933701656
174,146892,348,1.6295257207334128,0.0,0.38949671772428884
175,147182,350,1.6443084701094388,0.0,0.41040462427745666
176,147808,352,1.9353256729521782,0.0,0.4032258064516129
177,148962,354,1.8025374898139854,0.0,0.41361256544502617
178,149556,356,1.6873692925780623,0.0,0.44527363184079605
179,149942,358,2.305890816876364,0.0,0.4370860927152318
180,150648,360,2.3889648077030743,0.0,0.41225165562913907
181,151130,362,2.603891882133981,0.0,0.34987593052109184
182,151884,364,1.5140139445726775,0.0,0.3793911007025761
183,152462,366,1.6672070864335395,0.0,0.45278450363196127
184,152960,368,1.931653478859773,0.0,0.335423197492163
185,153586,370,1.6465713757137606,0.0,0.4504950495049505
186,154228,372,1.4789433104605627,0.0,0.4939759036144578
187,154838,374,1.2566597796511556,0.0,0.4984423676012461
188,155240,376,1.6845940676474032,0.0,0.4230769230769231
189,155994,378,1.9707837160356128,0.0,0.3860759493670886
190,156588,380,2.1925473698350184,0.0,0.40358744394618834
191,157262,382,1.3375889037905206,0.0,0.4251968503937008
192,158160,384,1.8750666710000483,0.0,0.38137082601054484
193,159026,386,1.2951111767597794,0.0,0.4658119658119658
194,159268,388,1.3198514593826185,0.0,0.3684210526315789
195,160006,390,1.1142041402236464,0.0,0.4258064516129032
196,162024,392,1.251847011193816,0.0,0.562111801242236
197,162938,394,2.288440623834332,0.0,0.41009055627425617
198,163340,396,1.3460470267022344,0.0,0.49029126213592233
199,165054,398,1.7587522680725463,0.0,0.5133574007220216
200,165744,400,1.7178866450663504,0.0,0.4399092970521542
201,166754,402,1.7567917944856526,0.0,0.3861236802413273
202,168932,404,1.2846384750048614,0.0,0.5276872964169381
203,169542,406,1.5057110636376556,0.0,0.4562841530054645
204,169816,408,1.4215216731320235,0.0,0.4817073170731707
205,170346,410,1.7083162696374075,0.0,0.48677248677248675
206,171388,412,1.2557704795365567,0.0,0.4151376146788991
207,171966,414,1.598640559580624,0.0,0.4301369863013699
208,173008,416,1.3038248512067814,0.0,0.42992424242424243
209,173602,418,2.0543806084095957,0.0,0.3481675392670157
210,174020,420,0.9963788431759755,0.0,0.3597122302158273
211,174758,422,2.158692441364946,0.0,0.37401574803149606
212,176408,424,1.4558712334256063,0.0,0.4140197152245345
213,177146,426,1.3357316682987554,0.0,0.41359773371104813
214,178076,428,1.4639156720159385,0.0,0.49559082892416223
215,178638,430,1.289969193072451,0.0,0.44
216,179168,432,2.063371431291545,0.0,0.4183168316831683
217,179698,434,1.4229356968541569,0.0,0.4
218,180004,436,1.6515859533165176,0.0,0.4134078212290503
219,180422,438,2.1756102009599383,0.0,0.367003367003367
220,180968,440,1.0574178766367228,0.0,0.46062992125984253
221,181546,442,1.4706202647899813,0.0,0.44680851063829785
222,182108,444,1.2393308458627765,0.0,0.3858267716535433
223,182894,446,1.568845421333461,0.0,0.4164904862579281
224,183712,448,1.5455490410244894,0.0,0.4815533980582524
225,184386,450,1.9596375216608062,0.0,0.410958904109589
226,184916,452,2.132008732634571,0.0,0.3838383838383838
227,185718,454,1.2869283231584645,0.0,0.4273972602739726
228,186600,456,1.8152717257443296,0.0,0.41708542713567837
229,187258,458,2.326376580888852,0.0,0.38846153846153847
230,187804,460,1.7506737770460044,0.0,0.42216358839050133
231,188414,462,1.8580673011194029,0.0,0.45584725536992843
232,188960,464,1.4748675795517796,0.0,0.3967611336032389
233,189522,466,1.082591279964927,0.0,0.430327868852459
234,190212,468,1.6665867348946592,0.0,0.44941176470588234
235,191062,470,1.9588388382918902,0.0,0.4353120243531202
236,192280,472,1.7724013216671444,0.0,0.4094387755102041
237,192954,474,1.4389940324960921,0.0,0.4904306220095694
238,193724,476,1.9819366558437377,0.0,0.4370503597122302
239,194766,478,0.8405064633128756,0.0,0.46131805157593125
240,195120,480,2.2786410546619464,0.0,0.38545454545454544
241,196018,482,1.3692369527134596,0.0,0.3946784922394678
242,196468,484,1.4347979430295739,0.0,0.53
243,197974,486,1.2993060990443763,0.0,0.47509578544061304
244,198312,488,2.3362711797061744,0.0,0.40441176470588236
245,198938,490,2.104125375193308,0.0,0.4421052631578947
246,200556,492,1.4044649019650555,0.0,0.44813278008298757
247,201214,494,1.7843802580177555,0.0,0.4088785046728972
248,201856,496,1.4091943077452276,0.0,0.4630681818181818
249,203346,498,1.3745107253829134,0.0,0.5443425076452599
250,203892,500,2.064186044646701,0.0,0.3970223325062035
251,204342,502,1.4227197227634651,0.0,0.3936651583710407
252,204888,504,1.8611093572643134,0.0,0.4090909090909091
253,205610,506,1.7032437664683067,0.0,0.437125748502994
254,206236,508,1.5409669458067563,0.0,0.4011627906976744
255,207518,510,1.660626495724755,0.0,0.5046248715313464
256,208384,512,2.0627391086098514,0.0,0.35793357933579334
257,209010,514,1.9899503521869117,0.0,0.4022727272727273
258,209652,516,1.6061937936094584,0.0,0.37606837606837606
259,210326,518,1.6124662131663474,0.0,0.434052757793765
260,211672,520,1.5015872882658696,0.0,0.4127979924717691
261,212378,522,2.3637524476439897,0.0,0.35619047619047617
262,213036,524,1.584495088996527,0.0,0.42455242966751916
263,214222,526,1.8370557501566962,0.0,0.38395061728395063
264,214912,528,1.6866537486819568,0.0,0.4436936936936937
265,215986,530,1.845817086484295,0.0,0.38746438746438744
266,216388,532,1.555463374324551,0.0,0.4194915254237288
267,217094,534,1.8217113638692097,0.0,0.39545454545454545
268,218344,536,1.619200097814103,0.0,0.41424802110817943
269,219098,538,1.1678947393965762,0.0,0.5050251256281407
270,219820,540,2.064090511737423,0.0,0.44244604316546765
271,220302,542,1.904212024558776,0.0,0.42105263157894735
272,221392,544,1.143480176930823,0.0,0.31989247311827956
273,222562,546,1.6166262407909102,0.0,0.4369063772048847
274,222900,548,1.8513076450584232,0.0,0.4009009009009009
275,223830,550,1.4294652436307738,0.0,0.47048300536672627
276,225032,552,2.1316564804082954,0.0,0.484593837535014
277,226170,554,1.4678678046384153,0.0,0.502283105022831
278,226828,556,2.0550735446774007,0.0,0.41755888650963596
279,227134,558,1.9407093398466955,0.0,0.37073170731707317
280,228512,560,1.6340693037691971,0.0,0.3939393939393939
281,229218,562,1.6122522396208827,0.0,0.4024390243902439
282,229940,564,1.847373485914362,0.0,0.33649289099526064
283,230230,566,1.1965108876677877,0.0,0.4794520547945205
284,231128,568,1.6020039896587674,0.0,0.5425867507886435
285,231802,570,2.02245522692675,0.0,0.39191919191919194
286,232204,572,1.363880299123815,0.0,0.4322033898305085
287,232974,574,1.3365193898576246,0.0,0.4381443298969072
288,233344,576,1.3783347971859037,0.0,0.5194174757281553
289,234066,578,1.765522804455688,0.0,0.48990825688073397
290,234324,580,1.3911187715967732,0.0,0.42657342657342656
291,234838,582,1.0829513103611257,0.0,0.4759825327510917
292,235560,584,2.001295199966631,0.0,0.40823970037453183
293,236458,586,2.1684747933392843,0.0,0.42857142857142855
294,237596,588,1.5850401680407415,0.0,0.4227994227994228
295,238110,590,1.962886495853505,0.0,0.3954154727793696
296,239952,592,1.1427253391161503,0.0,0.5601851851851852
297,240402,594,1.461504291061837,0.0,0.4406779661016949
298,241028,596,1.5742840893175372,0.0,0.48267326732673266
299,241958,598,1.5672020376546647,0.0,0.44851657940663175
300,242424,600,1.648931436747722,0.0,0.4033333333333333
301,242842,602,1.8104025437634552,0.0,0.36363636363636365
302,243260,604,1.5893710249496722,0.0,0.45934959349593496
303,243886,606,1.6038783084032968,0.0,0.4016393442622951
304,244352,608,2.2453325651926597,0.0,0.3780487804878049
305,245042,610,1.8645340535182526,0.0,0.44171779141104295
306,245652,612,1.946347275797078,0.0,0.4105960264900662
307,246182,614,1.392293205041274,0.0,0.39636363636363636
308,246664,616,1.8799654432621244,0.0,0.39490445859872614
309,247146,618,1.7294935843082018,0.0,0.46607669616519176
310,248252,620,1.725715333153951,0.0,0.5877192982456141
311,248926,622,2.0133144529705924,0.0,0.44626593806921677
312,250192,624,1.3720444042744824,0.0,0.4246153846153846
313,250882,626,1.3771202480179199,0.0,0.48284313725490197
314,251764,628,1.8254132139227057,0.0,0.4063047285464098
315,252374,630,1.1119834304229248,0.0,0.41935483870967744
316,253096,632,1.9508738049234204,0.0,0.4485981308411215
317,254234,634,1.8896484348947236,0.0,0.4308641975308642
318,254572,636,1.7457439337464935,0.0,0.48672566371681414
319,255102,638,2.4601225825451176,0.0,0.38694638694638694
320,255584,640,1.1901244756703233,0.0,0.4622222222222222
321,256050,642,1.3183945846888743,0.0,0.4473684210526316
322,256708,644,1.8468388807358853,0.0,0.4148471615720524
323,257302,646,1.4702096092860493,0.0,0.5056179775280899
324,258280,648,2.005208366593713,0.0,0.3991825613079019
325,258618,650,1.5288421520767348,0.0,0.48130841121495327
326,259836,652,1.7235930060700984,0.0,0.4111111111111111
327,260638,654,1.7724511794081945,0.0,0.4406779661016949
328,260960,656,1.6473294068693651,0.0,0.4264705882352941
329,261314,658,1.975526078272181,0.0,0.39183673469387753
330,262484,660,1.8241457763415756,0.0,0.43896424167694204
331,264166,662,1.0456431059470106,0.0,0.5856052344601963
332,264760,664,1.8557250782543377,0.0,0.42424242424242425
333,265386,666,0.7774965666738428,0.0,0.28776978417266186
334,265724,668,1.4555330238789819,0.0,0.455
335,266270,670,1.3178202093657114,0.0,0.4083969465648855
336,267120,672,1.9077237776437876,0.0,0.42033898305084744
337,267650,674,1.6248838501123155,0.0,0.3588850174216028
338,268260,676,1.6216113185571335,0.0,0.37694704049844235
339,269830,678,1.1047751697939214,0.0,0.5691358024691358
340,270392,680,1.0854719406741207,0.0,0.4342629482071713
341,270874,682,0.970509217983609,0.0,0.5392156862745098
342,271324,684,1.4595111934948324,0.0,0.42731277533039647
343,271822,686,1.505173107444707,0.0,0.48242811501597443
344,272864,688,1.0169152117930964,0.0,0.5789473684210527
345,273666,690,1.6967654456614063,0.0,0.3969957081545064
346,275204,692,1.62048358924617,0.0,0.4135593220338983
347,276918,694,1.370727593588568,0.0,0.43798882681564244
348,277880,696,2.072844042706541,0.0,0.41597796143250687
349,279434,698,1.0389943809389428,0.0,0.5588235294117647
350,279836,700,1.4819964763715234,0.0,0.4444444444444444
351,281054,702,1.9991263730719386,0.0,0.4052443384982122
352,281536,704,1.2838650089611856,0.0,0.4326530612244898
353,282290,706,1.5033468039843445,0.0,0.41570438799076215
354,283092,708,1.5238326119601246,0.0,0.4642857142857143
355,283766,710,1.3486103952053368,0.0,0.40350877192982454
356,284152,712,1.7294835238441906,0.0,0.5230263157894737
357,285114,714,1.6948707267196816,0.0,0.43833580980683506
358,286780,716,1.682031867355781,0.0,0.3786610878661088
359,287182,718,1.369503487185278,0.0,0.41081081081081083
360,288736,720,1.6938880263857643,0.0,0.4002145922746781
361,289778,722,1.5157623404831615,0.0,0.4180602006688963
362,290468,724,2.003038625390545,0.0,0.36477987421383645
363,291478,726,1.3599723616671766,0.0,0.608355091383812
364,292280,728,1.3537195098378478,0.0,0.48643006263048016
365,292970,730,1.709035198876404,0.0,0.44772727272727275
366,293468,732,1.4948819094535708,0.0,0.48615384615384616
367,294142,734,1.6728161912947597,0.0,0.38221153846153844
368,296592,736,1.1004819167422868,0.0,0.5562962962962963
369,297330,738,2.0754497054158425,0.0,0.41821561338289964
370,298628,740,1.6441883011759033,0.0,0.4548872180451128
371,299030,742,1.663072462794929,0.0,0.47410358565737054
372,299960,744,1.5367126426971611,0.0,0.4471830985915493
373,300602,746,1.3388131735930195,0.0,0.4384858044164038
374,301468,748,2.0569937547107093,0.0,0.4105754276827372
375,301950,750,1.9179427574266545,0.0,0.3115942028985507
376,303712,752,1.640086672170985,0.0,0.38366571699905033
377,304274,754,1.6129013517331208,0.0,0.4097222222222222
378,304804,756,1.5672709272848462,0.0,0.4069400630914827
379,305798,758,1.236006135761953,0.0,0.5529622980251346
380,306696,760,1.847829909124796,0.0,0.3611111111111111
381,307482,762,1.4217313395708036,0.0,0.38063063063063063
382,308124,764,1.4345872071532209,0.0,0.4378531073446328
383,309022,766,1.0186263389922714,0.0,0.4753694581280788
384,309616,768,1.855721915346708,0.0,0.4306569343065693
385,310802,770,1.4152392068187638,0.0,0.38879736408566723
386,311268,772,1.527189462331596,0.0,0.47854785478547857
387,312022,774,1.448524965989546,0.0,0.487012987012987
388,312936,776,1.212411336999289,0.0,0.5561694290976059
389,313482,778,1.551043586037991,0.0,0.44345238095238093
390,314332,780,1.4449557648489788,0.0,0.3829787234042553
391,314878,782,1.6768775871115724,0.0,0.3490566037735849
392,315344,784,1.4429539482686942,0.0,0.416
393,316722,786,1.5478702824676918,0.0,0.4
394,317396,788,1.5532308435109758,0.0,0.44339622641509435
395,318038,790,1.648208988561357,0.0,0.40654205607476634
396,318872,792,1.5071716928807353,0.0,0.3755868544600939
397,319994,794,1.521294819086387,0.0,0.44254658385093165
398,321116,796,1.3941873864183973,0.0,0.5554016620498615
399,321726,798,1.270549470966225,0.0,0.46808510638297873
400,322384,800,1.7372007271039893,0.0,0.3790322580645161
401,323330,802,1.9013574355184193,0.0,0.4016393442622951
402,324420,804,1.4724873005659669,0.0,0.4616541353383459
403,325366,806,1.557001132032134,0.0,0.4056603773584906
404,326120,808,1.5229615400103524,0.0,0.45652173913043476
405,326714,810,1.6535571745742808,0.0,0.3872832369942196
406,327068,812,2.336410712433862,0.0,0.3956043956043956
407,327534,814,1.0059758701359545,0.0,0.3626373626373626
408,328128,816,1.4961697075017033,0.0,0.3848797250859107
409,328898,818,1.8349686657254607,0.0,0.3431578947368421
410,329444,820,1.9183161444140098,0.0,0.42329545454545453
411,329974,822,2.0829697802271006,0.0,0.4065656565656566
412,330664,824,1.1921705986946436,0.0,0.5027173913043478
413,332394,826,1.0307408550112538,0.0,0.5490417136414881
414,333708,828,1.2730294211433835,0.0,0.4165366614664587
415,334478,830,1.86583026388532,0.0,0.4111969111969112
416,335648,832,1.457454365221732,0.0,0.44778254649499283
417,336146,834,1.7061523327144408,0.0,0.4971751412429379
418,336900,836,1.0358860271542085,0.0,0.49142857142857144
419,337398,838,1.833693093925845,0.0,0.37583892617449666
420,338264,840,1.130496766569461,0.0,0.4483695652173913
421,339162,842,1.4674596445869572,0.0,0.3643724696356275
422,339852,844,1.5849046732514236,0.0,0.4365079365079365
423,341054,846,1.3496132523594102,0.0,0.3932980599647266
